WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,05/23/2025 16:50,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2256,W,IRVING PARK RD,1911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,14,6,5,3,0,14,6,5
FREEZING RAIN/DRIZZLE,DARKNESS,TURNING,T-INTERSECTION,,STRAIGHT AND LEVEL,OTHER,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",02/08/2025 21:29,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,7101,N,CLARK ST,2423,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,7,2,2,0,21,7,2
RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",04/05/2025 4:33,UNABLE TO DETERMINE,NOT APPLICABLE,11009,S,AVENUE O,433,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,3,7,4,1,0,3,7,4
UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",08/14/2024 8:20,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,2599,E,76TH ST,421,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,4,8,1,0,6,4,8
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",08/14/2024 19:25,UNABLE TO DETERMINE,UNABLE TO DETERMINE,355,E,ERIE ST,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,4,8,1,0,17,4,8
CLEAR,DARKNESS,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,Y,"OVER $1,500",12/10/2024 9:30,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,355,E,OHIO ST,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,4,12,1,0,19,4,12
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",01/07/2025 14:25,NOT APPLICABLE,NOT APPLICABLE,6257,S,RACINE AVE,712,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,3,1,2,0,13,3,1
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/16/2025 16:40,IMPROPER OVERTAKING/PASSING,FOLLOWING TOO CLOSELY,333,S,STATE ST,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,1,3,2,0,13,1,3
FREEZING RAIN/DRIZZLE,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/16/2025 13:36,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4925,N,BROADWAY,2033,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,1,3,1,0,13,1,3
UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,N,,Y,"$501 - $1,500",01/14/2025 14:16,IMPROPER LANE USAGE,IMPROPER LANE USAGE,3405,W,HARRISON ST,1133,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,14,3,1,3,0,14,3,1
CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",08/14/2024 18:48,NOT APPLICABLE,NOT APPLICABLE,4372,N,KIMBALL AVE,1723,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,18,4,8,1,0,18,4,8
SNOW,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,OTHER,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",12/04/2024 20:54,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,4426,W,LELAND AVE,1722,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,4,12,2,0,20,4,12
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT ON GRADE,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/04/2024 17:00,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,4857,W,WASHINGTON BLVD,1533,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,15,2,11,2,0,15,2,11
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",08/14/2024 10:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,203,W,47TH ST,224,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,4,8,2,0,10,4,8
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",08/16/2024 15:00,FOLLOWING TOO CLOSELY,NOT APPLICABLE,5000,S,ARCHER AVE,815,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,8,2,0,19,4,8
RAIN,DARKNESS,REAR END,ONE-WAY,,"CURVE, LEVEL",WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/04/2024 5:52,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,WEATHER,1000,N,LAKE SHORE DR,1824,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,4,0,5,2,11,4,0,5,2,11
RAIN,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,N,"OVER $1,500",04/05/2025 2:02,IMPROPER LANE USAGE,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),500,N,SACRAMENTO BLVD,1221,,,,,,,2,"REPORTED, NOT EVIDENT",3,0,0,0,3,0,0,2,7,4,0,0,2,7,4
SNOW,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",03/16/2025 14:00,UNABLE TO DETERMINE,NOT APPLICABLE,4900,S,THROOP ST,933,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,1,3,1,0,12,1,3
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,"OVER $1,500",04/05/2025 14:10,UNABLE TO DETERMINE,NOT APPLICABLE,1921,N,KEDVALE AVE,2534,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,7,4,1,0,13,7,4
CLEAR,DAYLIGHT,PEDESTRIAN,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",09/07/2024 16:42,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1142,W,BALMORAL AVE,2023,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,16,7,9,1,0,16,7,9
CLEAR,DAYLIGHT,TURNING,"FIVE POINT, OR MORE",,STRAIGHT AND LEVEL,DRY,UNKNOWN,,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,01/07/2025 15:00,UNABLE TO DETERMINE,NOT APPLICABLE,9500,S,VINCENNES AVE,2213,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,1,2,0,7,3,1
CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",09/07/2024 4:15,DISREGARDING OTHER TRAFFIC SIGNS,DISREGARDING OTHER TRAFFIC SIGNS,165,S,KOSTNER AVE,1115,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,3,0,4,7,9,3,0,4,7,9
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",09/07/2024 13:20,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",UNABLE TO DETERMINE,1731,N,WINCHESTER AVE,1434,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,7,9,1,0,13,7,9
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/04/2024 9:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6629,S,CHICAGO SKYWAY IB,312,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,11,2,0,7,2,11
CLEAR,DAYLIGHT,ANGLE,UNKNOWN,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",02/08/2025 11:15,UNABLE TO DETERMINE,UNABLE TO DETERMINE,300,E,47TH ST,215,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,7,2,2,0,10,7,2
CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",05/23/2025 17:04,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,2900,W,MADISON ST,1222,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,17,6,5,4,0,17,6,5
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",08/14/2024 7:57,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2999,W,FERDINAND ST,1221,,,,,,,2,"REPORTED, NOT EVIDENT",2,0,0,0,2,0,0,7,4,8,0,0,7,4,8
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",12/04/2024 9:03,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,4531,S,LA CROSSE AVE,814,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,4,12,2,0,9,4,12
CLEAR,DUSK,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/07/2024 17:55,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5701,S,CICERO AVE,813,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,5,3,1,0,17,5,3
RAIN,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,09/07/2024 1:10,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,500,N,WESTERN AVE,1221,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,7,9,2,0,1,7,9
UNKNOWN,UNKNOWN,ANGLE,UNKNOWN INTERSECTION TYPE,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",02/08/2025 23:00,PHYSICAL CONDITION OF DRIVER,UNABLE TO DETERMINE,1625,S,UNION AVE,1235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,22,7,2,3,0,22,7,2
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",01/14/2025 10:40,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4041,W,ROOSEVELT RD,1011,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,7,0,9,3,1,7,0,9,3,1
CLEAR,DAYLIGHT,ANGLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/27/2025 11:46,WEATHER,NOT APPLICABLE,5233,N,LINCOLN AVE,2011,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,2,10,2,0,11,2,10
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/06/2025 14:45,FOLLOWING TOO CLOSELY,NOT APPLICABLE,4515,W,CERMAK RD,1013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,7,4,2,0,15,7,4
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",04/05/2025 7:22,DISTRACTION - FROM INSIDE VEHICLE,DISTRACTION - FROM INSIDE VEHICLE,1753,W,DEVON AVE,2433,,N,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,7,4,2,0,7,7,4
RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,04/05/2025 12:20,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,2645,W,GREGORY ST,2011,,,,,,,2,,,,,,,,,11,7,4,,,11,7,4
CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",09/07/2024 20:40,UNABLE TO DETERMINE,NOT APPLICABLE,2548,W,FOSTER AVE,2011,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,7,9,2,0,20,7,9
CLEAR,DAWN,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",09/17/2024 19:00,FOLLOWING TOO CLOSELY,NOT APPLICABLE,2014,N,CICERO AVE,2522,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,9,7,9,3,0,9,7,9
CLEAR,DAYLIGHT,PEDESTRIAN,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,01/07/2025 13:01,IMPROPER BACKING,UNABLE TO DETERMINE,1224,S,WABASH AVE,131,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,13,3,1,1,0,13,3,1
RAIN,DARKNESS,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/25/2024 0:32,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,5028,W,GRACE ST,1634,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,1,8,1,0,0,1,8
CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",12/04/2024 19:57,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,2199,N,CLARK ST,1814,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,19,4,12,2,0,19,4,12
CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",09/07/2024 16:20,IMPROPER LANE USAGE,DRIVING ON WRONG SIDE/WRONG WAY,3934,W,DIVERSEY AVE,2523,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,16,7,9,4,0,16,7,9
UNKNOWN,UNKNOWN,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/27/2025 12:10,UNABLE TO DETERMINE,UNABLE TO DETERMINE,100,N,ASHLAND AVE,1224,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,2,1,2,0,11,2,1
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",04/05/2025 12:01,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4500,N,CUMBERLAND AVE,1614,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,2,0,1,0,12,7,4,1,0,12,7,4
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",05/23/2025 16:30,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,3641,S,WESTERN BLVD,912,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,5,2,0,15,6,5
CLOUDY/OVERCAST,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/05/2025 16:20,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,4155,W,IRVING PARK RD,1732,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,7,4,2,0,11,7,4
CLOUDY/OVERCAST,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",04/05/2025 6:42,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5345,N,KEDZIE AVE,1712,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,6,7,4,0,0,6,7,4
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,03/16/2025 15:30,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,339,E,CHICAGO AVE,1833,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,1,3,2,0,12,1,3
CLEAR,DUSK,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/14/2024 19:32,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1317,S,CLARK ST,131,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,4,8,2,0,18,4,8
CLEAR,DUSK,REAR TO SIDE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,"$501 - $1,500",08/20/2024 20:17,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1236,E,53RD ST,234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,4,8,2,0,18,4,8
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/15/2024 11:15,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1600,E,130TH ST,434,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,4,8,2,0,15,4,8
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",04/05/2025 16:17,FAILING TO REDUCE SPEED TO AVOID CRASH,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,4201,W,ADDISON ST,1731,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,16,7,4,3,0,16,7,4
CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT REPORTED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",05/23/2025 23:10,DISREGARDING STOP SIGN,NOT APPLICABLE,450,W,CERMAK RD,914,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,23,6,5,3,0,23,6,5
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",05/23/2025 15:00,UNABLE TO DETERMINE,NOT APPLICABLE,1801,W,TAYLOR ST,1231,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,6,5,2,0,14,6,5
CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/08/2025 7:41,UNABLE TO DETERMINE,NOT APPLICABLE,856,E,40TH ST,214,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,7,2,2,0,7,7,2
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",09/07/2024 17:44,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1500,N,HONORE ST,1424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,7,9,1,0,17,7,9
CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",01/07/2025 9:05,DISREGARDING TRAFFIC SIGNALS,DISREGARDING TRAFFIC SIGNALS,7600,S,SOUTH CHICAGO AVE,411,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,3,1,2,0,8,3,1
CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",12/04/2024 16:06,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,2004,S,WESTERN AVE,1023,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,4,12,2,0,15,4,12
CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,ONE-WAY,,STRAIGHT AND LEVEL,OTHER,OTHER,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",09/07/2024 5:40,UNABLE TO DETERMINE,NOT APPLICABLE,4900,N,LAKE SHORE DR NB,2024,,,,Y,MAINTENANCE,,2,NONINCAPACITATING INJURY,2,0,0,2,0,0,0,5,7,9,0,0,5,7,9
